{('torch.float32', 'cuda:0'): 124443653, ('torch.float32', 'cuda:0', 'grad'): 124443653, 'get_rank': -1, 'memory_cpu_percent': 2.7, 'gpu_used_gb': 5.3955078125, 'local_rank': 0, 'scenario': 'torch', 'N': 100, 'train_batch_size': 8, 'time_per_img': 0.05248508339000788, 'time_per_iter': 5.2485083390007885, 'times': [5.24077152000973, 5.239782813005149, 5.264970683987485], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, ('torch.float32', 'cuda:0', 'grad'): 124443653, 'get_rank': -1, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 5.0810546875, 'local_rank': 0, 'scenario': 'ort-torch', 'N': 100, 'train_batch_size': 8, 'time_per_img': 0.042092642570011475, 'time_per_iter': 4.209264257001148, 'times': [4.21380223199958, 4.208045980980387, 4.205944558023475], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 5.5087890625, 'local_rank': 0, 'scenario': 'ds0', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.056867416969907936, 'time_per_iter': 5.686741696990794, 'times': [5.697484189993702, 5.6665521129907575, 5.696188787987921], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.5, 'gpu_used_gb': 3.9228515625, 'local_rank': 0, 'scenario': 'ds2-f16-offload', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.27435330673334346, 'time_per_iter': 27.435330673334345, 'times': [27.423146029002964, 27.510619929002132, 27.372226061997935], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.5, 'gpu_used_gb': 3.8271484375, 'local_rank': 0, 'scenario': 'ds2-f16-offload-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.2510136445932828, 'time_per_iter': 25.101364459328277, 'times': [24.929430259973742, 25.057293202000437, 25.317369916010648], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 125189, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 8.0107421875, 'local_rank': 0, 'scenario': 'ds3', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.29374429377009315, 'time_per_iter': 29.374429377009317, 'times': [29.450672116014175, 29.356775154999923, 29.31584086001385], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 125189, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 6.1357421875, 'local_rank': 0, 'scenario': 'ds3-f16', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.30585426712670594, 'time_per_iter': 30.585426712670596, 'times': [30.58634600098594, 30.53476850601146, 30.635165631014388], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 125189, 'get_rank': 0, 'memory_cpu_percent': 3.7, 'gpu_used_gb': 3.9853515625, 'local_rank': 0, 'scenario': 'ds3-f16-offload', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.5907768662900587, 'time_per_iter': 59.07768662900586, 'times': [59.02072768702055, 58.89942509299726, 59.31290710699977], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 3.8271484375, 'local_rank': 0, 'scenario': 'ds2-f16-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.25018999484328863, 'time_per_iter': 25.018999484328862, 'times': [25.022230654984014, 25.048564530996373, 24.986203267006204], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.9, 'gpu_used_gb': 6.4345703125, 'local_rank': 0, 'scenario': 'ds1-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.07931828184334638, 'time_per_iter': 7.9318281843346385, 'times': [7.936826513992855, 7.937455422012135, 7.921202616998926], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 6.5185546875, 'local_rank': 0, 'scenario': 'ds2-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.25838203103339763, 'time_per_iter': 25.838203103339765, 'times': [25.803974017006112, 25.809110314992722, 25.90152497802046], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 5.2607421875, 'local_rank': 0, 'scenario': 'ds1-offload', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.2766295569833407, 'time_per_iter': 27.66295569833407, 'times': [27.782586118002655, 27.562941028998466, 27.643339948001085], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.5, 'gpu_used_gb': 6.4462890625, 'local_rank': 0, 'scenario': 'ds2-offload', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.26984686116329004, 'time_per_iter': 26.984686116329005, 'times': [26.9165450540022, 27.221598217991414, 26.815915076993406], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 5.0244140625, 'local_rank': 0, 'scenario': 'ds1-offload-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.25801557106344264, 'time_per_iter': 25.801557106344262, 'times': [25.780430326994974, 25.816304255014984, 25.80793673702283], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 6.5185546875, 'local_rank': 0, 'scenario': 'ds2-offload-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.2628080585866701, 'time_per_iter': 26.28080585866701, 'times': [26.054535131988814, 26.254352997028036, 26.533529446984176], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 125189, 'get_rank': 0, 'memory_cpu_percent': 3.9, 'gpu_used_gb': 6.3525390625, 'local_rank': 0, 'scenario': 'ds3-offload', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.6122711634533092, 'time_per_iter': 61.22711634533092, 'times': [60.98938628201722, 61.41465125899413, 61.277311494981404], 'program': 'perf.py'}
